iter	Passed	Remaining
627	120623	395484
628	120857	395430
629	121072	395311
630	121318	395292
631	121519	395130
632	121704	394914
633	121889	394700
634	122127	394655
635	122382	394665
636	122566	394444
637	122809	394415
638	123008	394244
639	123207	394071
640	123379	393814
641	123615	393758
642	123789	393508
643	123960	393246
644	124117	392944
645	124269	392623
646	124445	392378
647	124742	392514
648	124955	392385
649	125189	392324
650	125440	392315
651	125645	392160
652	125904	392175
653	126151	392150
654	126385	392083
655	126548	391797
656	126722	391546
657	126940	391432
658	127117	391189
659	127275	390889
660	127508	390821
661	127731	390718
662	127899	390449
663	128067	390181
664	128255	389975
665	128483	389886
666	128724	389840
667	129043	390029
668	129191	389699
669	129357	389424
670	129521	389144
671	129669	388814
672	129834	388538
673	130072	388481
674	130258	388267
675	130459	388098
676	130691	388022
677	130870	387785
678	131017	387456
679	131150	387086
680	131397	387052
681	131541	386716
682	131680	386364
683	131817	386008
684	131993	385768
685	132204	385629
686	132419	385499
687	132579	385211
688	132775	385029
689	132926	384716
690	133075	384398
691	133258	384178
692	133407	383860
693	133578	383604
694	133776	383429
695	134002	383331
696	134187	383118
697	134378	382919
698	134572	382733
699	134748	382493
700	134935	382284
701	135084	381970
702	135231	381648
703	135400	381389
704	135585	381177
705	135822	381111
706	136060	381045
707	136302	380992
708	136577	381030
709	136731	380730
710	136938	380577
711	137112	380332
712	137315	380168
713	137504	379965
714	137742	379900
715	137901	379613
716	138062	379336
717	138251	379133
718	138418	378869
719	138579	378591
720	138747	378332
721	138927	378104
722	139138	377964
723	139368	377873
724	139672	377982
725	139921	377941
726	140088	377679
727	140253	377412
728	140403	377106
729	140566	376833
730	140733	376572
731	140886	376275
732	141073	376067
733	141223	375762
734	141404	375538
735	141599	375354
736	141738	375021
737	141961	374909
738	142229	374916
739	142453	374807
740	142799	375018
741	143081	375058
742	143372	375121
743	143687	375248
744	143918	375152
745	144186	375155
746	144397	375009
747	144576	374776
748	144841	374768
749	145036	374580
750	145326	374636
751	145552	374526
752	145737	374310
753	145951	374169
754	146104	373873
755	146317	373728
756	146513	373541
757	146661	373232
758	146821	372954
759	147001	372726
760	147159	372443
761	147304	372126
762	147444	371800
763	147605	371526
764	147783	371293
765	147959	371056
766	148146	370849
767	148359	370704
768	148546	370496
769	148712	370235
770	148878	369974
771	149069	369777
772	149289	369651
773	149463	369409
774	149614	369113
775	149774	368838
776	149937	368571
777	150124	368365
778	150367	368295
779	150664	368354
780	150834	368105
781	151030	367919
782	151190	367644
783	151350	367371
784	151525	367136
785	151688	366869
786	151861	366627
787	152108	366565
788	152444	366716
789	152674	366611
790	152848	366371
791	153045	366189
792	153192	365884
793	153400	365726
794	153577	365494
795	153747	365246
796	153917	364999
797	154103	364788
798	154263	364518
799	154429	364260
800	154574	363954
801	154771	363770
802	154951	363546
803	155152	363373
804	155332	363151
805	155547	363007
806	155773	362892
807	156050	362895
808	156259	362737
809	156444	362525
810	156643	362346
811	156852	362189
812	157057	362025
813	157299	361942
814	157535	361849
815	157710	361612
816	157937	361496
817	158106	361248
818	158422	361334
819	158731	361403
820	158968	361309
821	159164	361121
822	159399	361021
